,n_pyth,alpha,partition coefficient,fukuyama sugeno index,xie beni index,silhouette score,adjusted rand score,adjusted mutual info score,homogeneity,completeness,v measure
87,2,1.5346938775510206,0.8817877099678757,-326.18465522548604,0.27584443443293,0.4823667382565928,0.7532692074861019,0.7219841546304111,0.7240305497603804,0.7219872316535481,0.723007447035614
88,2,1.573469387755102,0.8625992002336078,-349.6933046755886,0.2493451169096287,0.4823929620632271,0.7632291115803027,0.7316032656700788,0.7333957488372059,0.7317876816799833,0.7325908328161891
89,2,1.6122448979591837,0.8445256125387969,-369.634799147422,0.22670872711671272,0.483655584702141,0.7624459018678847,0.729511907968766,0.7313561167162514,0.7296603208724531,0.7305072346426789
90,2,1.6510204081632653,0.827425672701531,-386.55677617898243,0.20721934790922725,0.483655584702141,0.7624459018678847,0.729511907968766,0.7313561167162514,0.7296603208724531,0.7305072346426789
91,2,1.689795918367347,0.8111827296107162,-400.9045409529227,0.19032174403241053,0.4842609728410929,0.7674475324971008,0.7342481691357425,0.7359689268308227,0.7344844034786335,0.7352259157907267
92,2,1.7285714285714286,0.7956997500447991,-413.04416128302154,0.1755786487644917,0.4842609728410929,0.7674475324971008,0.7342481691357425,0.7359689268308227,0.7344844034786335,0.7352259157907267
93,2,1.7673469387755103,0.7808955795170306,-423.2798046528738,0.16264089951564384,0.4862078101629638,0.7823299765319692,0.7485555361667768,0.7501130269090805,0.7488490101792665,0.7494804855959554
94,2,1.806122448979592,0.7667018526731412,-431.8655746229599,0.151227199716882,0.4873905496518671,0.7870752916996961,0.7524950252853548,0.7539641771557163,0.7528474255714623,0.7534053875314624
95,2,1.8448979591836736,0.7530606960370494,-439.0159299295465,0.14110818421151844,0.48860928774329204,0.7918606091235455,0.7565406914407444,0.7579290422322121,0.7569437776539427,0.7574360895378669
96,2,1.8836734693877553,0.7399227628687982,-444.91274762648425,0.13209554288726907,0.48958322325107034,0.7909991870880209,0.7496180915866684,0.7508883598598407,0.7501895151166591,0.750538774810489
97,2,1.922448979591837,0.7272457748298198,-449.71150351726834,0.12403337246402885,0.48980480319940767,0.7958472013929327,0.7538903516278758,0.7550998969000214,0.7544908836710364,0.7547952674386231
98,2,1.9612244897959186,0.7149931003521773,-453.54533043114395,0.11679192817731704,0.49048387359347856,0.8010357948870499,0.759188554219824,0.7603133650328032,0.7598346031394125,0.7600739086944501
99,2,2.0,0.703133019642014,-456.52955012344216,0.11026228377326963,0.4914423340724793,0.8059434878777137,0.7635951318913197,0.7646706427210302,0.7642579589442441,0.7644642451374597
100,3,0.1,1.0,2988.0,1.0,,,,,,
101,3,0.15918367346938775,1.0,2987.999999999998,1.0,,,,,,
102,3,0.21836734693877552,1.0,2987.9999987960928,1.0,,,,,,
103,3,0.27755102040816326,1.0,2987.9989372030477,1.0,0.02924898665107259,0.019808238651273284,0.05869114318058405,0.11500869048606832,0.04173220731476032,0.06124204444027795
104,3,0.336734693877551,1.0,2987.9427072977205,1.0,0.24458296392877474,0.3777875291186255,0.41426920614190355,0.43146428096500716,0.4025377728022908,0.4164993837098055
105,3,0.39591836734693875,1.0,2987.2587655073385,1.0,0.2703885511550943,0.4815695150785119,0.5262088130376349,0.5860017113583932,0.48066719629524257,0.528133514723795
106,3,0.45510204081632655,1.0,2983.7436183547497,1.0,0.08628590639111529,0.4397418403794787,0.4887296205847615,0.6347898459641075,0.4007748290314817,0.4913411940944575
107,3,0.5142857142857142,1.0,2973.1620606716683,1.0,0.4432420758721754,0.5503873242021983,0.5403216082690755,0.543684688018904,0.5403583421770681,0.5420164117135486
108,3,0.573469387755102,1.0,2950.607628627945,1.0,0.18897653938502476,0.44541912939662603,0.4979280979258219,0.6471394790931124,0.4077711615055766,0.5002979530022578
109,3,0.6326530612244897,1.0,2912.4066859171294,1.0,0.4453648071550748,0.5899910406966209,0.5666806345454252,0.5710219878006432,0.565566403415491,0.5682811023012844
110,3,0.6918367346938775,1.0,2857.123296466292,1.0,0.4264317063475539,0.5512206325901123,0.5575182188573214,0.5715795899816405,0.5473088614381844,0.5591809875545438
111,3,0.7510204081632652,1.0,2785.471173061867,1.0,0.1589034585078769,0.4480556053149528,0.4994028656801275,0.6387530791264935,0.41341453032341474,0.5019538747021012
112,3,0.810204081632653,1.0,2699.6525747650508,1.0,0.14229970679138315,0.4505663852775136,0.49949845123215175,0.6303079987461594,0.41703263144401204,0.5019551342901519
113,3,0.8693877551020407,1.0,2602.6179309701633,1.0,0.17514025438656092,0.4529124270111395,0.50758866797681,0.6536988359130113,0.41821519246840305,0.5100908790055558
114,3,0.9285714285714285,1.0,2497.487594225798,1.0,0.1445863954224243,0.44550788559918675,0.49270609785214126,0.6258715886098658,0.40973468327328044,0.49524863665125446
115,3,0.9877551020408162,1.0,2387.1867761968683,1.0,0.2166326705688653,0.4455412205307155,0.49544240796617606,0.6238268788183502,0.4142950229808251,0.4979152653425121
116,3,1.046938775510204,1.0,2274.258318780206,1.0,0.5105080764894128,0.44068349263009304,0.49392010654597746,0.6489571852210423,0.40017530006715196,0.4950692881370971
117,3,1.1061224489795918,1.0,2160.797015157923,1.0,0.5105080764894128,0.44068349263009304,0.49392010654597746,0.6489571852210423,0.40017530006715196,0.4950692881370971
118,3,1.1653061224489796,1.0,2048.4561590225644,1.0,0.5105080764894128,0.44068349263009304,0.49392010654597746,0.6489571852210423,0.40017530006715196,0.4950692881370971
119,3,1.2244897959183674,1.0,1938.4911521295653,1.0,0.5105080764894128,0.44068349263009304,0.49392010654597746,0.6489571852210423,0.40017530006715196,0.4950692881370971
120,3,1.2836734693877552,1.0,1831.8179384680748,1.0,0.5105080764894128,0.44068349263009304,0.49392010654597746,0.6489571852210423,0.40017530006715196,0.4950692881370971
121,3,1.3428571428571427,1.0,1729.073518717563,1.0,0.5105080764894128,0.44068349263009304,0.49392010654597746,0.6489571852210423,0.40017530006715196,0.4950692881370971
122,3,1.4020408163265305,1.0,1630.6507611601965,1.0,0.1369057662109037,0.4442574308948846,0.4940647591244228,0.6372180795711812,0.4068746713325005,0.4966376722149451
123,3,1.4612244897959183,1.0,1420.2749296277154,1.0,0.2402329838545407,0.4819274086871183,0.5274033025351825,0.588972237204494,0.4806531259323043,0.5293280370044424
