n_pyth,alpha,partition coefficient_mean,fukuyama sugeno index_mean,xie beni index_mean,silhouette score_mean,adjusted rand score_mean,adjusted mutual info score_mean,homogeneity_mean,completeness_mean,v measure_mean,partition coefficient_std,fukuyama sugeno index_std,xie beni index_std,silhouette score_std,adjusted rand score_std,adjusted mutual info score_std,homogeneity_std,completeness_std,v measure_std
1,0.2,2.9982083039181693,2970.846391739981,1.0,0.2741737793465122,0.4337173436827718,0.46621295395738466,0.526314574789286,0.42735867522462806,0.468393973581659,1.2242694637700976e-15,90.98789824280057,0.0,0.13758529241639433,0.09488328974353061,0.09247956315209147,0.11139364675740848,0.09303951694730601,0.09210610079433737
1,0.2888888888888889,2.934207322122398,2912.8216685210464,1.0,0.27649308075877466,0.45454622833946445,0.49639654156454216,0.5794538306307334,0.4418317860746231,0.4984905667214813,3.7155169009665004e-16,100.46111962353058,0.0,0.11585749380989156,0.058587572701799144,0.05467919238124217,0.08072917684389858,0.0574294551441346,0.05446634863543448
1,0.37777777777777777,2.665630694368762,2658.858855968959,1.0,0.2748816503795382,0.4663052799515836,0.5113681856342432,0.6223623405548959,0.4403715504614225,0.5133990648426584,1.3521039707987306e-15,103.90379470705912,0.0,0.1346954145698441,0.04530047487061116,0.03489692475806933,0.05348523739215116,0.04653492348985905,0.034717473907647824
1,0.4666666666666667,2.2125665726571975,2206.3024413676767,1.0,0.44236721944881097,0.45126986995148166,0.5069433981595562,0.66055682753926,0.4135783070890517,0.5083285537419758,4.0297272530500784e-15,75.5618134965791,0.0,0.14379037284941762,0.03041595190193106,0.027250380004453106,0.03872258176546596,0.024967660038700337,0.027078886406300382
1,0.5555555555555556,1.7132119484418251,1709.0468419149577,1.0,0.41966958258875636,0.4553169914824742,0.5108245175348675,0.6652924599905709,0.41658068024638395,0.5122384303265102,0.0038417050714110853,70.04785984522705,0.0,0.16058420818583488,0.03241678465695998,0.02677494751727552,0.034519468335458464,0.023375036811317477,0.02684137961037643
1,0.6444444444444445,1.1496868892979288,133.8449812556983,0.9789512804518649,0.47353997937239645,0.7064589460347555,0.6781553730380739,0.6819896470577619,0.6767467399149625,0.6793453834169096,0.006057043554956692,54.04881324076048,0.044290084538335106,0.02401405380531024,0.05005762824017251,0.0411825014168702,0.04072134668205254,0.04150787127508584,0.041028890804492596
1,0.7333333333333334,0.9807790502530458,-252.967636691828,0.4002902168095565,0.47935393264203485,0.7376879088146684,0.707472030742758,0.7099428728835652,0.7071742424736187,0.7085514620587223,0.0011740777389716124,37.18771207493154,0.04456151011209601,0.01858218836329385,0.04210504478472018,0.035062199171450495,0.03481621834121782,0.03513090417747066,0.034932544828197604
1,0.8222222222222222,0.8792673067764926,-406.913611823806,0.22525225065997137,0.4893110102524351,0.7635477664075403,0.7303171617634855,0.7320406495954022,0.7305860107496794,0.7313112021735723,0.005745550513603848,35.487885470343144,0.019314285414133745,0.01711879303586032,0.04351201144177027,0.038819552260555605,0.038600217193872466,0.03877809990800742,0.03867638360352496
1,0.9111111111111112,0.8008846630417827,-457.6942724392632,0.15510586497712242,0.4891870508027453,0.7714599867949106,0.737471446653585,0.7388812634761401,0.7379988795755021,0.7384386741808575,0.009252089485395546,38.329721888143155,0.013897967060160237,0.01956766647533999,0.04252903523904741,0.03775691998769406,0.03764662462771385,0.03761115377960151,0.03761788317616174
1,1.0,0.7396953606661778,-493.55663149562946,0.11450965888822016,0.49718855743629137,0.795334291822626,0.7565489434839602,0.7577208025954689,0.7571722263923442,0.7574455233724348,0.009664814621319127,33.04482453323991,0.009287726941825425,0.015740229115132044,0.03758945473240905,0.03550148605066671,0.03534239194358166,0.03541704766648576,0.03537070781198611
